,Freq(MHz),Ls(uH),Rs(Ohm)
0,0.01,7.42298,0.0316101
1,0.02,7.371630000000001,0.0479746
2,0.03,7.30992,0.0688326
3,0.04,7.24855,0.0902024
4,0.05,7.196160000000001,0.110517
5,0.06,7.15215,0.129072
6,0.07,7.11572,0.145941
7,0.08,7.08523,0.161241
8,0.09,7.05965,0.175352
9,0.1,7.03823,0.188503
10,0.11,7.01982,0.200823
11,0.12,7.00389,0.212578
12,0.13,6.98993,0.223798
13,0.14,6.97772,0.234658
14,0.15,6.96676,0.245122
15,0.16,6.95692,0.255387
16,0.17,6.9478800000000005,0.265392
17,0.18,6.93959,0.275186
18,0.19,6.93203,0.284795
19,0.2,6.925009999999999,0.294278
20,0.21,6.91843,0.303549
21,0.22,6.91234,0.312672
22,0.23,6.9047600000000005,0.320368
23,0.24,6.899439999999999,0.329176
24,0.25,6.894410000000001,0.337897
25,0.26,6.88988,0.346531
26,0.27,6.88541,0.354845
27,0.28,6.8811,0.363137
28,0.29,6.87702,0.371428
29,0.3,6.87308,0.379423
30,0.31,6.869409999999999,0.387278
31,0.32,6.8658399999999995,0.395195
32,0.33,6.862410000000001,0.403059
33,0.34,6.85919,0.410613
34,0.35,6.85607,0.418249
35,0.36,6.8530299999999995,0.425826
36,0.37,6.8502,0.433271
37,0.38,6.8474699999999995,0.440621
38,0.39,6.8448899999999995,0.447999
39,0.4,6.84247,0.455163
40,0.41,6.83997,0.462231
41,0.42,6.8376,0.46924
42,0.43,6.83526,0.476102
43,0.44,6.8331,0.482862
44,0.45,6.83097,0.489736
45,0.46,6.8289,0.496674
46,0.47,6.826969999999999,0.503294
47,0.48,6.825080000000001,0.509942
48,0.49,6.82326,0.516657
49,0.5,6.82146,0.52318
50,0.51,6.8199,0.529686
51,0.52,6.81816,0.535998
52,0.53,6.81656,0.542308
53,0.54,6.81501,0.548518
54,0.55,6.81349,0.554715
55,0.56,6.81205,0.561107
56,0.57,6.81062,0.567305
57,0.58,6.809279999999999,0.573333
58,0.59,6.80795,0.579554
59,0.6,6.80667,0.585687
60,0.61,6.80539,0.591784
61,0.62,6.804169999999999,0.597505
62,0.63,6.8029399999999995,0.603355
63,0.64,6.80181,0.609189
64,0.65,6.80076,0.615029
65,0.66,6.7996,0.621013
66,0.67,6.7985999999999995,0.626819
67,0.68,6.79758,0.632605
68,0.69,6.79657,0.638075
69,0.7,6.79558,0.643646
70,0.71,6.79466,0.649403
71,0.72,6.793769999999999,0.655006
72,0.73,6.79286,0.660537
73,0.74,6.791989999999999,0.666306
74,0.75,6.791189999999999,0.671519
75,0.76,6.79039,0.676944
76,0.77,6.78961,0.68226
77,0.78,6.7889,0.687893
78,0.79,6.78822,0.693415
79,0.8,6.78754,0.698629
80,0.81,6.7868,0.703886
81,0.82,6.78604,0.709029
82,0.83,6.78531,0.71449
83,0.84,6.78474,0.719961
84,0.85,6.78417,0.724948
85,0.86,6.7835600000000005,0.730073
86,0.87,6.78293,0.735148
87,0.88,6.7824,0.740173
88,0.89,6.78181,0.745691
89,0.9,6.7813099999999995,0.75113
90,0.91,6.78075,0.756377
91,0.92,6.78026,0.761121
92,0.93,6.77973,0.765746
93,0.94,6.779310000000001,0.770427
94,0.95,6.778790000000001,0.775908
95,0.96,6.77839,0.780783
96,0.97,6.7779799999999994,0.785924
97,0.98,6.7776000000000005,0.791134
98,0.99,6.777229999999999,0.795446
99,1.0,6.7769,0.799926
100,1.01,6.776490000000001,0.804776
101,1.02,6.776079999999999,0.810035
102,1.03,6.7756799999999995,0.815302
103,1.04,6.77541,0.820829
104,1.05,6.77512,0.825806
105,1.06,6.77488,0.830429
106,1.07,6.774579999999999,0.835151
107,1.08,6.77426,0.839284
108,1.09,6.774,0.842723
109,1.1,6.77372,0.846405
110,1.11,6.773499999999999,0.851541
111,1.12,6.773269999999999,0.855807
112,1.13,6.77306,0.860866
113,1.14,6.77284,0.865604
114,1.15,6.77262,0.871153
115,1.16,6.77247,0.876623
116,1.17,6.77231,0.881366
117,1.18,6.772130000000001,0.885674
118,1.19,6.771999999999999,0.890138
119,1.2,6.77189,0.894467
120,1.21,6.77169,0.899143
121,1.22,6.77153,0.903143
122,1.23,6.77147,0.907626
123,1.24,6.77132,0.912228
124,1.25,6.77116,0.916438
125,1.26,6.7710099999999995,0.920571
126,1.27,6.77094,0.925389
127,1.28,6.77083,0.930362
128,1.29,6.7707299999999995,0.934824
129,1.3,6.77063,0.938844
130,1.31,6.7706,0.942873
131,1.32,6.7707500000000005,0.947436
132,1.33,6.77071,0.95234
133,1.34,6.77076,0.956894
134,1.35,6.7708200000000005,0.961089
135,1.36,6.77071,0.965759
136,1.37,6.77069,0.969949
137,1.38,6.77067,0.974168
138,1.39,6.77068,0.978714
139,1.4,6.77074,0.983104
140,1.41,6.77081,0.987812
141,1.42,6.77088,0.99228
142,1.43,6.77091,0.995628
143,1.44,6.77091,0.99955
144,1.45,6.77099,1.00332
145,1.46,6.77112,1.00837
146,1.47,6.7711500000000004,1.01294
147,1.48,6.77114,1.01629
148,1.49,6.7712200000000005,1.01995
149,1.5,6.77134,1.0245
150,1.51,6.77142,1.02943
151,1.52,6.77155,1.03354
152,1.53,6.7717,1.03733
153,1.54,6.7718799999999995,1.04112
154,1.55,6.77202,1.04579
155,1.56,6.77217,1.05087
156,1.57,6.772349999999999,1.05366
157,1.58,6.7725,1.05861
158,1.59,6.7727200000000005,1.06354
159,1.6,6.77297,1.06701
160,1.61,6.773160000000001,1.07072
161,1.62,6.77336,1.07586
162,1.63,6.77348,1.08065
163,1.64,6.77369,1.0851
164,1.65,6.77397,1.08822
165,1.66,6.77407,1.09194
166,1.67,6.77425,1.09683
167,1.68,6.7744599999999995,1.10212
168,1.69,6.77466,1.10544
169,1.7,6.77492,1.10887
170,1.71,6.77522,1.11424
171,1.72,6.77553,1.11754
172,1.73,6.77582,1.12108
173,1.74,6.77607,1.12681
174,1.75,6.7764,1.13114
175,1.76,6.7767,1.13536
176,1.77,6.77694,1.13903
177,1.78,6.77726,1.14325
178,1.79,6.77767,1.14778
179,1.8,6.7780000000000005,1.15275
180,1.81,6.77833,1.1562
181,1.82,6.77859,1.16044
182,1.83,6.778910000000001,1.16542
183,1.84,6.779190000000001,1.1685
184,1.85,6.77944,1.17183
185,1.86,6.779780000000001,1.17762
186,1.87,6.78019,1.18213
187,1.88,6.7805599999999995,1.18656
188,1.89,6.78082,1.18942
189,1.9,6.78107,1.19407
190,1.91,6.78143,1.199
191,1.92,6.781829999999999,1.20348
192,1.93,6.78231,1.20695
193,1.94,6.78278,1.21098
194,1.95,6.78322,1.21646
195,1.96,6.78362,1.21957
196,1.97,6.78392,1.22348
197,1.98,6.78439,1.22759
198,1.99,6.78488,1.23169
199,2.0,6.78538,1.23654
